SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,196.091217,216.725646,169.387643,1,8,-1.5235,0.3111,20.6687,34.9344,1,0.2636,0.0409,0.0335,0.0386,0.0466,0,-5,-7,-5,1,3,-1.73,-0.7,-1.41,-0.96,-0.89,-1.02,0.16
-5,-5,252.620042,272.877808,178.829389,2,8,1.9315,0.2494,63.1015,70.8013,5,1,0.9987,0.999,0.9385,0.5407,0,-5,0,-5,5,7,-1.13,-1.33,-0.17,-0.66,-9,-0.05,-9
-5,-5,0,0,332.717003,2,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,201.557954,235.919964,0,2,6,-2.1011,0.407,17.2547,28.9385,1,0.038,0.0175,0.0284,0.0371,0.0463,0,-5,0,-5,2,3,-0.57,-7,-7,-7,-7,-7,-7
-5,-5,338.876639,419.442777,247.60377,2,5,-0.6157,0.2673,30.9064,44.3582,2,0.9075,0.2653,0.0921,0.0481,0.0488,-8,-5,-8,-5,-8,-8,-1.73,0.27,-1.68,-0.74,0.23,-2.05,-1.12
-5,-5,0,0,143.257602,1,3,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,0,-5,0,-5,2,3,-8,-8,-8,-8,-8,-8,-8
-5,-5,67.446316,0,74.197976,2,8,0.5674,0.2638,47.3214,56.6409,4,0.9991,0.9325,0.7652,0.1857,0.0773,0,-5,1,-5,3,5,0.6,1.31,0.27,0.19,-7,-7,-7
-5,-5,0,0,301.037883,2,8,1.1592,0.2336,54.3978,62.7847,5,0.9999,0.987,0.9709,0.5533,0.1597,4,-5,0,-5,3,5,0.6,-0.3,0.1,0.49,-7,-7,-7
-5,-5,246.570119,0,157.136228,1,2,-1.6506,0.3424,19.7166,33.6149,1,0.1816,0.0334,0.0317,0.0382,0.0465,4,-5,-7,-5,4,7,-0.57,-0.3,-0.3,-1.01,-9,-0.9,0.09
-5,-5,166.898266,171.115154,93.767443,2,2,1.4296,0.2406,57.5591,65.5911,5,1,0.9942,0.9907,0.748,0.2485,0,-5,0,-5,4,6,1.76,-0.3,1.62,0.56,0.1,-0.59,-0.21
-5,-5,46.417132,0,69.563268,1,8,-1.9877,0.3718,17.7502,30.1157,1,0.0572,0.0203,0.029,0.0373,0.0463,-8,-5,-8,-5,-8,-8,0,-0.87,0.1,-0.59,-7,-7,-7
-5,-5,0,0,148.140247,2,8,-1.6566,0.2927,19.6748,33.5529,1,0.1782,0.0331,0.0317,0.0381,0.0465,0,-5,-7,-5,2,2,-1.73,-7,-7,-7,-7,-7,-7
