PLOT,REP,ROTATION,TILLAGE,DEPTH,SBD,EC,PH,NO3N,SOC,TN,PMN,POMLF,POMSF,POMT,POMSOM,MBC,MBN
213,2,4,T1,15,1.44,0.16,6.46,0.8,14495,1856,11.4,-9999,-9999,-9999,-9999,-9999,-9999
214,2,4,T2,15,1.30,0.14,6.28,0.8,13212,1685,7.8,-9999,-9999,-9999,-9999,-9999,-9999
219,2,3,T2,15,1.44,0.13,6.45,1.1,19742,2060,21.1,-9999,-9999,-9999,-9999,-9999,-9999
220,2,3,T1,15,1.37,0.13,6.45,1.4,20548,2062,24.5,-9999,-9999,-9999,-9999,-9999,-9999
221,2,1,T2,15,1.32,0.13,6.33,1.2,20448,2085,16.3,-9999,-9999,-9999,-9999,-9999,-9999
222,2,1,T1,15,1.42,0.14,6.41,1.2,21330,2158,21.8,-9999,-9999,-9999,-9999,-9999,-9999
223,2,2,T1,15,1.43,0.17,6.29,1.1,19179,2056,15.3,-9999,-9999,-9999,-9999,-9999,-9999
224,2,2,T2,15,1.45,0.17,6.40,1.3,16649,1912,17.2,-9999,-9999,-9999,-9999,-9999,-9999
303,3,3,T2,15,1.37,0.15,6.14,1.6,21406,2154,16.5,-9999,-9999,-9999,-9999,-9999,-9999
304,3,3,T1,15,1.44,0.16,6.18,2.1,22864,2275,10.3,-9999,-9999,-9999,-9999,-9999,-9999
305,3,2,T2,15,1.42,0.16,6.55,1.7,20484,2095,26.9,-9999,-9999,-9999,-9999,-9999,-9999
306,3,2,T1,15,1.44,0.16,6.26,1.6,19753,2017,20.4,-9999,-9999,-9999,-9999,-9999,-9999
309,3,4,T1,15,1.40,0.16,6.21,1.6,22146,2076,15.4,-9999,-9999,-9999,-9999,-9999,-9999
310,3,4,T2,15,1.39,0.15,6.41,1.5,20745,2030,18.5,-9999,-9999,-9999,-9999,-9999,-9999
313,3,1,T2,15,1.40,0.16,6.16,2.2,19934,2086,11.7,-9999,-9999,-9999,-9999,-9999,-9999
314,3,1,T1,15,1.46,0.16,6.18,1.8,19331,2067,11.1,-9999,-9999,-9999,-9999,-9999,-9999
317,3,6,T1,15,1.39,0.14,6.15,1.0,22640,2102,6.1,-9999,-9999,-9999,-9999,-9999,-9999
318,3,6,T2,15,1.41,0.14,6.12,0.9,20381,2070,13.6,-9999,-9999,-9999,-9999,-9999,-9999
321,3,5,T1,15,1.48,0.14,6.18,1.8,17600,1952,6.4,-9999,-9999,-9999,-9999,-9999,-9999
322,3,5,T2,15,1.43,0.15,6.13,1.5,18220,1961,12.0,-9999,-9999,-9999,-9999,-9999,-9999
105,1,5,T1,30,1.32,0.16,6.77,4.3,26123,2970,18.9,-9999,-9999,-9999,-9999,-9999,-9999
106,1,5,T2,30,1.31,0.18,6.71,5.6,32738,3514,28.2,-9999,-9999,-9999,-9999,-9999,-9999
107,1,2,T1,30,1.27,0.17,6.80,3.9,34842,3539,32.1,-9999,-9999,-9999,-9999,-9999,-9999
108,1,2,T2,30,1.30,0.17,6.57,4.4,30492,3293,27.9,-9999,-9999,-9999,-9999,-9999,-9999
111,1,3,T2,30,1.25,0.17,6.93,2.4,17920,2496,16.1,-9999,-9999,-9999,-9999,-9999,-9999
112,1,3,T1,30,1.35,0.16,6.82,2.5,23115,2776,24.4,-9999,-9999,-9999,-9999,-9999,-9999
113,1,1,T1,30,1.38,0.19,6.96,3.0,20524,2612,16.6,-9999,-9999,-9999,-9999,-9999,-9999
114,1,1,T2,30,1.36,0.18,6.90,3.1,25394,2614,20.8,-9999,-9999,-9999,-9999,-9999,-9999
117,1,4,T2,30,1.31,0.18,6.70,3.5,33616,3377,28.8,-9999,-9999,-9999,-9999,-9999,-9999
118,1,4,T1,30,1.27,0.16,6.51,3.8,42639,3880,32.1,-9999,-9999,-9999,-9999,-9999,-9999
123,1,6,T1,30,1.39,0.19,7.00,2.8,25167,2921,19.0,-9999,-9999,-9999,-9999,-9999,-9999
124,1,6,T2,30,1.37,0.18,6.81,3.7,24866,2858,21.6,-9999,-9999,-9999,-9999,-9999,-9999
203,2,6,T1,30,1.31,0.17,6.90,3.1,27026,3054,18.6,-9999,-9999,-9999,-9999,-9999,-9999
204,2,6,T2,30,1.31,0.20,6.91,3.0,26794,3132,23.6,-9999,-9999,-9999,-9999,-9999,-9999
205,2,5,T1,30,1.38,0.18,7.09,3.4,18899,2365,11.2,-9999,-9999,-9999,-9999,-9999,-9999
206,2,5,T2,30,1.35,0.19,6.77,4.2,23497,2656,19.7,-9999,-9999,-9999,-9999,-9999,-9999
213,2,4,T1,30,1.34,0.36,7.27,3.6,26758,2696,19.0,-9999,-9999,-9999,-9999,-9999,-9999
214,2,4,T2,30,1.34,0.19,6.66,3.6,20388,2456,12.6,-9999,-9999,-9999,-9999,-9999,-9999
219,2,3,T2,30,1.32,0.16,6.66,3.8,26949,2970,25.4,-9999,-9999,-9999,-9999,-9999,-9999
220,2,3,T1,30,1.33,0.16,6.63,4.7,31810,3211,28.1,-9999,-9999,-9999,-9999,-9999,-9999
221,2,1,T2,30,1.30,0.14,6.53,3.8,34541,3526,29.3,-9999,-9999,-9999,-9999,-9999,-9999
222,2,1,T1,30,1.33,0.16,6.62,4.5,33792,3508,29.4,-9999,-9999,-9999,-9999,-9999,-9999
223,2,2,T1,30,1.41,0.15,6.69,2.7,27378,3110,20.6,-9999,-9999,-9999,-9999,-9999,-9999
224,2,2,T2,30,1.41,0.20,6.78,3.5,25529,2963,24.0,-9999,-9999,-9999,-9999,-9999,-9999
303,3,3,T2,30,1.31,0.15,6.51,2.5,41288,3885,44.6,-9999,-9999,-9999,-9999,-9999,-9999
304,3,3,T1,30,1.38,0.15,6.50,3.9,44091,4360,40.2,-9999,-9999,-9999,-9999,-9999,-9999
305,3,2,T2,30,1.37,0.19,7.03,3.2,35564,3654,37.3,-9999,-9999,-9999,-9999,-9999,-9999
306,3,2,T1,30,1.38,0.21,6.75,3.6,26878,3085,27.2,-9999,-9999,-9999,-9999,-9999,-9999
309,3,4,T1,30,1.32,0.21,6.64,5.2,36115,3698,27.9,-9999,-9999,-9999,-9999,-9999,-9999
310,3,4,T2,30,1.40,0.19,6.79,5.3,35008,3421,29.6,-9999,-9999,-9999,-9999,-9999,-9999
313,3,1,T2,30,1.43,0.22,6.57,3.2,27687,3187,24.3,-9999,-9999,-9999,-9999,-9999,-9999
314,3,1,T1,30,1.44,0.23,6.75,2.5,23142,2826,18.8,-9999,-9999,-9999,-9999,-9999,-9999
317,3,6,T1,30,1.41,0.18,6.40,4.8,39040,3656,29.0,-9999,-9999,-9999,-9999,-9999,-9999
318,3,6,T2,30,1.38,0.16,6.49,4.0,34960,3640,27.1,-9999,-9999,-9999,-9999,-9999,-9999
321,3,5,T1,30,1.48,0.21,6.48,3.7,20727,2577,9.5,-9999,-9999,-9999,-9999,-9999,-9999
322,3,5,T2,30,1.46,0.24,6.90,4.5,22537,2801,21.3,-9999,-9999,-9999,-9999,-9999,-9999
