SCH_ID,X1NCESID,W1MATHTCH,W1SCITCH,W3HSTRANS,X1SEX,X1RACE,X1TXMTH,X1TXMSEM,X1TXMSCR,X1TXMTSCOR,X1TXMQUINT,X1TXMPROF1,X1TXMPROF2,X1TXMPROF3,X1TXMPROF4,X1TXMPROF5,X1PAR1OCC_STEM1,X1PAR1OCC_STEM2,X1PAR2OCC_STEM1,X1PAR2OCC_STEM2,X1PAREDU,X1FAMINCOME,X1MTHID,X1MTHUTI,X1MTHEFF,X1MTHINT,X1SCIUTI,X1SCIEFF,X1SCIINT
-5,-5,449.342313,408.17024,260.179798,2,8,0.1581,0.2454,42.221,52.3917,4,0.9953,0.8143,0.4474,0.0935,0.0592,0,-5,0,-5,5,3,-1.73,-0.7,-0.34,0.19,0.28,1.4,0.86
-5,-5,70.775258,78.191414,54.024983,2,6,-0.1929,0.275,37.3498,48.7476,3,0.9808,0.6039,0.2207,0.0633,0.0524,-8,-5,-8,-5,-8,-8,0,-2.13,-0.34,0.74,-3.1,-2.49,-1.42
-5,-5,252.092158,183.976967,136.824859,2,3,-0.7124,0.292,29.5074,43.3552,2,0.8722,0.2093,0.0776,0.0462,0.0483,4,-5,0,-5,5,4,-0.57,-0.3,-0.58,0.19,0.1,-0.46,0.87
-5,-5,104.715055,188.660627,153.200497,1,8,-0.3782,0.2611,34.5362,46.8243,2,0.9608,0.4498,0.1481,0.0549,0.0504,0,-5,0,-5,2,2,-1.73,-0.3,0.49,0.56,0.15,0.68,0.86
-5,-5,171.604899,191.294747,115.018609,2,8,1.1207,0.2352,53.9431,62.3847,5,0.9999,0.9855,0.966,0.5229,0.1505,0,-5,0,-5,4,6,1.76,-0.36,1.62,1.78,-0.28,1.83,-0.99
-5,-5,0,0,12.917376,2,2,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-8,-5,-8,-5,-8,-8,-8,-8,-8,-8,-8,-8,-8
-5,-5,36.401376,31.41143,21.480546,2,2,-0.0801,0.2518,38.9906,49.9189,3,0.9877,0.6851,0.2809,0.0704,0.0541,4,-5,4,-5,4,10,0.03,0.9,-0.17,0.86,1.69,0.25,0.87
-5,-5,98.17625,0,85.656738,1,8,-0.2699,0.2737,36.1951,47.9488,3,0.9741,0.542,0.1869,0.0594,0.0515,0,-5,0,-5,2,2,0,-0.7,-0.56,-1.01,-7,-7,-7
-5,-5,388.705659,0,266.198229,2,5,-0.6794,0.2989,29.9759,43.6968,2,0.8853,0.2269,0.0821,0.0468,0.0485,-8,-5,-8,-5,-8,-8,-0.57,-0.3,-1.68,-1.49,0.84,1.12,1.64
-5,-5,41.100777,38.135139,31.775924,2,2,-0.1493,0.2612,37.9928,49.2008,3,0.9839,0.6368,0.2425,0.0658,0.053,-8,-5,-8,-5,-8,-8,-0.57,1.31,0.1,0.01,1.69,0.25,0.16
-5,-5,0,0,100.317484,2,5,0.4813,0.2197,46.2708,55.7469,4,0.9988,0.9157,0.7055,0.1578,0.072,0,-5,0,-5,1,2,1.76,-7,-7,-7,-0.33,-1.33,-0.67
