DATE,CPGREN01USM659N
1958-01-01,0.27475917500000000000
1959-01-01,1.7074738000000000
1960-01-01,2.4438141666666666
1961-01-01,0.26438530833333331917
1962-01-01,0.41418890000000002000
1963-01-01,0.19108884166666667833
1964-01-01,-0.40413986666666667667
1965-01-01,1.85386872500000000
1966-01-01,1.5260719666666666
1967-01-01,2.3263637500000000
1968-01-01,1.46871700833333344
1969-01-01,2.5835655000000001
1970-01-01,2.7524565833333333
1971-01-01,3.9618995833333332
1972-01-01,2.7680231666666667
1973-01-01,8.0781976666666666
1974-01-01,29.2605391666666670
1975-01-01,10.6792891666666670
1976-01-01,7.2183098333333333
1977-01-01,9.5130223333333332
1978-01-01,6.3516009166666667
1979-01-01,24.8875500833333334
1980-01-01,31.9986400000000005
1981-01-01,13.6306500000000003
1982-01-01,1.5103691916666666
1983-01-01,0.79985587500000000250
1984-01-01,1.03297721583333333250
1985-01-01,0.69498759333333332500
1986-01-01,-13.0861074083333334
1987-01-01,0.91813742500000016833
1988-01-01,0.78327325833333333917
1989-01-01,5.6621203333333332
1990-01-01,8.34463589166666675
1991-01-01,0.70515477499999994167
1992-01-01,0.55899228333333331417
1993-01-01,1.15995145000000000
1994-01-01,0.45176033333333334750
1995-01-01,0.61862291666666670000
1996-01-01,4.6568854416666666
1997-01-01,1.3433604666666666
1998-01-01,-7.7472463333333332
1999-01-01,3.7186485833333332
2000-01-01,16.9612283333333328
2001-01-01,4.0804197500000001
2002-01-01,-5.4170197499999999
2003-01-01,12.3496643333333332
2004-01-01,10.9988467583333332
2005-01-01,16.8168661666666667
2006-01-01,12.1584466666666664
2007-01-01,5.7985899166666666
2008-01-01,14.1622625000000001
2009-01-01,-16.7505760833333331
2010-01-01,9.8657019166666666
2011-01-01,15.3411157499999999
2012-01-01,1.02682785833333340500
2013-01-01,-0.63398053333333335083
2014-01-01,-0.41263388333333335000
2015-01-01,-16.5945416666666667
2016-01-01,-6.3182085666666668
2017-01-01,8.0015038333333332
2018-01-01,7.5317688749999999
2019-01-01,-2.05406260833333324
2020-01-01,-8.2346935833333334
2021-01-01,21.2442996666666666
2022-01-01,25.3759180833333333
2023-01-01,-4.28948673333333333
2024-01-01,.
