DATE,CUSR0000SEHF01
1952-01-01,27.6500000000000000
1953-01-01,27.9916666666666667
1954-01-01,28.1250000000000000
1955-01-01,28.4666666666666667
1956-01-01,28.5750000000000000
1957-01-01,28.7166666666666667
1958-01-01,29.0750000000000000
1959-01-01,29.4916666666666667
1960-01-01,29.8750000000000000
1961-01-01,29.9250000000000000
1962-01-01,29.9500000000000000
1963-01-01,29.9500000000000000
1964-01-01,29.7833333333333333
1965-01-01,29.6916666666666667
1966-01-01,29.6666666666666667
1967-01-01,29.9166666666666667
1968-01-01,30.1833333333333333
1969-01-01,30.7500000000000000
1970-01-01,31.8000000000000000
1971-01-01,33.8750000000000000
1972-01-01,35.5750000000000000
1973-01-01,37.3750000000000000
1974-01-01,44.1166666666666667
1975-01-01,49.9583333333333333
1976-01-01,53.1416666666666667
1977-01-01,56.6500000000000000
1978-01-01,60.8583333333333333
1979-01-01,65.5250000000000000
1980-01-01,75.7916666666666667
1981-01-01,87.1583333333333333
1982-01-01,95.8083333333333333
1983-01-01,98.9083333333333333
1984-01-01,105.2000000000000000
1985-01-01,108.9750000000000000
1986-01-01,110.3833333333333333
1987-01-01,110.0083333333333333
1988-01-01,111.5333333333333333
1989-01-01,114.6750000000000000
1990-01-01,117.3500000000000000
1991-01-01,121.7833333333333333
1992-01-01,124.1500000000000000
1993-01-01,126.6333333333333333
1994-01-01,126.7166666666666667
1995-01-01,129.5500000000000000
1996-01-01,131.7500000000000000
1997-01-01,132.4666666666666667
1998-01-01,127.3583333333333333
1999-01-01,126.4583333333333333
2000-01-01,128.4666666666666667
2001-01-01,137.6916666666666667
2002-01-01,136.2833333333333333
2003-01-01,139.5000000000000000
2004-01-01,142.0833333333333333
2005-01-01,150.8250000000000000
2006-01-01,169.1416666666666667
2007-01-01,175.8108333333333333
2008-01-01,187.0706666666666667
2009-01-01,192.7505000000000000
2010-01-01,193.1193333333333333
2011-01-01,196.7519166666666667
2012-01-01,196.6792500000000000
2013-01-01,200.7728333333333333
2014-01-01,208.0228333333333333
2015-01-01,209.1771666666666667
2016-01-01,206.9622500000000000
2017-01-01,211.4314166666666667
2018-01-01,212.9686666666666667
2019-01-01,213.3731666666666667
2020-01-01,214.6397500000000000
2021-01-01,223.9330000000000000
2022-01-01,253.1425833333333333
2023-01-01,267.8482500000000000
2024-01-01,.
