DATE,PIEAEN01USM661N
1960-01-01,8.6538960701863675
1961-01-01,8.7421481596843692
1962-01-01,8.6902351658620158
1963-01-01,8.6642786689508400
1964-01-01,8.4254788973680125
1965-01-01,8.5656439806883658
1966-01-01,8.7888698541244875
1967-01-01,8.9913305300316675
1968-01-01,8.8926958417691967
1969-01-01,9.0640087213829608
1970-01-01,9.5364169651663792
1971-01-01,10.3618335669418000
1972-01-01,10.6577376317292250
1973-01-01,12.0645797643150083
1974-01-01,18.7198255723407583
1975-01-01,22.0214919794424500
1976-01-01,23.8695945595182500
1977-01-01,27.1608783678554750
1978-01-01,28.9778331516378417
1979-01-01,36.6765301354929083
1980-01-01,51.5807506618906750
1981-01-01,62.4098011732336500
1982-01-01,62.2904012874422500
1983-01-01,59.7310906920001833
1984-01-01,59.0198826766339500
1985-01-01,56.9433629237398167
1986-01-01,43.4563671286923083
1987-01-01,43.7522711934797250
1988-01-01,41.5615428541763917
1989-01-01,45.3979130976483417
1990-01-01,51.2381249026631333
1991-01-01,50.5944037792659500
1992-01-01,50.0648912422779583
1993-01-01,49.8364740694595917
1994-01-01,48.4815449306961750
1995-01-01,48.6061361158698083
1996-01-01,53.4651923376421000
1997-01-01,53.6105487203447000
1998-01-01,46.8826247209676583
1999-01-01,50.1323781342470083
2000-01-01,64.4967035248922583
2001-01-01,65.5661111976327333
2002-01-01,58.0387270933914833
2003-01-01,70.3317240305248417
2004-01-01,79.0842547889736833
2005-01-01,97.4354981051757167
2006-01-01,103.8415615428543667
2007-01-01,110.6369724342001917
2008-01-01,133.6655764937964417
2009-01-01,98.8527228365259167
2010-01-01,115.7555936250842500
2011-01-01,134.5169495924829167
2012-01-01,132.1081866791258333
2013-01-01,131.9316825001297500
2014-01-01,130.7221097440689167
2015-01-01,99.9999999999999667
2016-01-01,90.9100347817058667
2017-01-01,101.9623111664849917
2018-01-01,113.1339874370555000
2019-01-01,105.0926646939730000
2020-01-01,89.7212272231739583
2021-01-01,124.6645382339199167
2022-01-01,169.9203654674764167
