DATE,PCU221110221110P
2004-01-01,105.4750000000000000
2005-01-01,122.0916666666666667
2006-01-01,128.6416666666666667
2007-01-01,132.4583333333333333
2008-01-01,145.9333333333333333
2009-01-01,133.0166666666666667
2010-01-01,138.8666666666666667
2011-01-01,142.1250000000000000
2012-01-01,127.1416666666666667
2013-01-01,136.4833333333333333
2014-01-01,152.1000000000000000
2015-01-01,133.1250000000000000
2016-01-01,120.5333333333333333
2017-01-01,126.5250000000000000
2018-01-01,141.9833333333333333
2019-01-01,146.8833333333333333
2020-01-01,134.3583333333333333
2021-01-01,218.8609166666666667
2022-01-01,237.4232500000000000
2023-01-01,188.0745833333333333
2024-01-01,.
