DATE,PNRGINDEXM
1992-01-01,47.9365775053132667
1993-01-01,44.9073760197056250
1994-01-01,42.3429446874799917
1995-01-01,45.6221165308227500
1996-01-01,54.3055375421387000
1997-01-01,51.0191941786278167
1998-01-01,37.2956754866473083
1999-01-01,45.8676666281603167
2000-01-01,73.6205157645657500
2001-01-01,66.3564717215304833
2002-01-01,62.5193014673707000
2003-01-01,77.4350567936430583
2004-01-01,98.0845934670796417
2005-01-01,135.5778677147155833
2006-01-01,153.2017829320918333
2007-01-01,168.0269459806186667
2008-01-01,232.5568981059098333
2009-01-01,142.7716988545870833
2010-01-01,178.5265627555035833
2011-01-01,231.5117667531818333
2012-01-01,228.1209757944906667
2013-01-01,225.8798926199800833
2014-01-01,212.3206952603390000
2015-01-01,118.9821211337963750
2016-01-01,100.0000000000000167
2017-01-01,123.3006979933235833
2018-01-01,156.5347572014005833
2019-01-01,129.2849791963412500
2020-01-01,91.7048926529027000
2021-01-01,183.0887226826639167
2022-01-01,299.5110841303657500
2023-01-01,189.5050149300188333
2024-01-01,.
